item,0,1,t
12,-55160.57591323901,3662.2836302923665,4
13,-55187.10063218177,3665.419273402935,4
14,-55221.5409435481,3636.8250704542697,4
15,-55195.01263964401,3649.1939533807945,4
16,-55197.7121668502,3637.9748617715263,4
17,-55209.9569688753,3654.5359757709707,4
18,-55218.177131981145,3626.9143934327653,4
19,-55209.99036930262,3609.3146399881803,4
20,-55228.78152442829,3643.752737460792,4
21,-55215.51181980744,3619.211919183772,4
22,-55223.68816269162,3616.459259794528,4
23,-55224.6264882425,3612.6746555010914,4
24,-55221.059682149105,3601.6705823021452,4
25,-55215.94157661155,3613.2044614291726,4
26,-55229.79379724777,3607.5210994620734,4
27,-55228.793860897094,3606.38453060523,4
28,-55226.23649776644,3608.085565424382,4
29,-55227.185604748614,3605.12606732164,4
30,-55229.38518358512,3604.3446910088214,4
31,-55224.039721176116,3601.872583115394,4
32,-55229.63078106172,3602.259308253688,4
0,-53818.97071283065,3507.3942096206347,5
1,-55044.293828854876,4371.308461138775,5
2,-55102.694822513185,3709.787929078487,5
3,-55100.45558460337,3709.4787578431865,5
4,-55125.29940242245,3786.890424450196,5
5,-55166.130431161466,3649.776757258928,5
6,-55157.02454592874,3653.7449722389715,5
7,-55163.6580720144,3632.8418379991213,5
8,-55190.72141024922,3724.5820991462992,5
9,-55116.266386903706,3690.206745279593,5
10,-55174.77795937836,3673.4461794896492,5
11,-55212.8389556995,3608.131697242355,5
12,-55150.66546368081,3652.5655456661316,5
13,-55176.04892243667,3659.9222012359573,5
14,-55215.911626878595,3631.2379587117885,5
15,-55170.84493666161,3654.6532240683555,5
16,-55188.01771459022,3631.3933981064984,5
17,-55196.885249572835,3646.023203318051,5
18,-55207.02881203805,3652.1678941059436,5
19,-55198.35601389511,3611.437111319971,5
20,-55227.979027088186,3636.2560995685762,5
21,-55207.280250353644,3614.05572431197,5
22,-55219.80139152427,3610.8120587020076,5
23,-55217.42470161895,3615.3752809898942,5
24,-55221.059682149105,3601.6705823021452,5
25,-55209.605517271135,3615.679374948427,5
26,-55227.980394928934,3610.2162516564063,5
27,-55227.52881213365,3608.851703843559,5
28,-55222.22892941601,3608.6259638477304,5
29,-55223.995397168364,3606.662164813955,5
30,-55224.3908525698,3605.0302570784197,5
31,-55223.04757122097,3601.805232885969,5
32,-55229.67112618897,3602.2861563614542,5
